MODEL_NAME,NUM_EPOCHS,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov1,Lyapunov2,Lyapunov3,MIN_SV3,MIN_GRAD_SV3
2026-08-04T14-20-33_tanh_4_81,200,100,5,tanh,4,1,0.0042704,0.0988299,0.0029346,0.0893386,0.0051386,0.1144119,0.700093133900196,-0.0052272652854752,-15.075553361541765,0.7525401126480644,-0.7267947453444557
2026-08-04T14-20-33_tanh_4_82,200,100,5,tanh,4,1,0.008999,0.1437555,0.017201,0.1811379,0.0065125,0.1226971,0.0530960123675564,-0.0298464276522941,-9.167097825480155,0.8394766417688484,-0.3233637886088842
2026-08-04T14-20-33_tanh_4_83,200,100,5,tanh,4,1,0.0057602,0.1176307,0.010077,0.137819,0.0098575,0.1296989,0.0576667566633528,-0.1467471563718037,-11.55781386652036,0.8094710583961046,-0.4270994329147859
2026-08-04T14-20-33_tanh_4_84,200,100,5,tanh,4,1,0.00659,0.1211676,0.0030417,0.082518,0.0035214,0.0925892,0.3646590126844969,-0.0207288451497199,-8.201719663414783,0.8564805569693575,-0.5316899203722375
2026-08-04T14-20-33_tanh_4_85,200,100,5,tanh,4,1,0.0026389,0.0733877,0.0019979,0.0699126,0.0029891,0.075054,0.6999641008291811,-0.0025182633216141,-12.59166560218616,0.679070693794338,-1.6578076180072352
2026-08-04T14-20-33_tanh_4_86,200,100,5,tanh,4,1,0.0094596,0.1471117,0.0178622,0.1949573,0.0223311,0.2194389,0.2566017667660414,-0.025161986839147,-13.163882954776165,0.7974874516509941,-0.3449987982107833
2026-08-04T14-20-33_tanh_4_87,200,100,5,tanh,4,1,0.0185399,0.2033447,0.0952772,0.4139753,0.0787308,0.3320245,0.0062836738195647,-1.1166611233517798,-1.1316724821238178,0.8439915161326148,-0.6449672613566804
2026-08-04T14-20-33_tanh_4_88,200,100,5,tanh,4,1,0.0137293,0.1668991,0.0216474,0.2203495,0.0121445,0.167022,-0.0007429030760606,-0.3728852045195846,-19.40620076622362,0.6407045242571637,-0.9451174912916434
2026-08-04T14-20-33_tanh_4_89,200,100,5,tanh,4,1,0.012854,0.1580637,0.0139402,0.1773112,0.0138788,0.1765668,0.329937670943737,-0.0066985697348278,-10.605085864730055,0.5941299870720105,-1.924621232143322
2026-08-04T14-20-33_tanh_4_90,200,100,5,tanh,4,1,0.0151674,0.1775221,0.0085597,0.1498629,0.0111553,0.1663845,-18.218637118466557,-18.807566952691676,-43.5842628322102,0.5665858480887944,-1.3036332565306632
2026-08-04T14-20-33_tanh_4_91,200,100,5,tanh,4,1,0.0099804,0.1418857,0.0069787,0.1317216,0.0119222,0.1719202,0.0139861001692534,-0.029703364499832,-8.5612663987611,0.8183052398423392,-0.633483128566888
2026-08-04T14-20-33_tanh_4_92,200,100,5,tanh,4,1,0.0023575,0.0732328,0.0032547,0.0871754,0.0036706,0.0850211,0.8228530139822896,-0.0066978232406385,-13.967468601960691,0.6935087011409158,-1.6260439376209928
2026-08-04T14-20-33_tanh_4_93,200,100,5,tanh,4,1,0.0032691,0.080402,0.0073722,0.1188919,0.0153352,0.1366208,0.0064513841112804,-0.2613481289600953,-9.598556362423135,0.7074811285672377,-1.3140049113983692
2026-08-04T14-20-33_tanh_4_94,200,100,5,tanh,4,1,0.009714,0.1491951,0.0129028,0.1786229,0.0199425,0.2138705,0.0046583890133141,-0.3683320804284032,-6.192767746801614,0.842226863179359,-0.4756713872067747
2026-08-04T14-20-33_tanh_4_95,200,100,5,tanh,4,1,0.0109517,0.1521959,0.0126851,0.1673087,0.0112218,0.1660918,0.0360970416743585,-0.2330386003178372,-12.917161474954504,0.7952603345904239,-0.4182954270853395
2026-08-04T14-20-33_tanh_4_96,200,100,5,tanh,4,1,0.0240955,0.2161582,0.004077,0.0981557,0.0281579,0.2348232,-0.0011445478867466,-2.012505196205277,-6.003187121540309,0.7298858719443706,-0.8483992817579236
2026-08-04T14-20-33_tanh_4_97,200,100,5,tanh,4,1,0.0140087,0.1800095,0.0114263,0.1680412,0.0067275,0.1252019,0.4354609373766857,-0.0079008940745811,-7.269351358827772,0.8652866675515114,-0.7413291676313942
2026-08-04T14-20-33_tanh_4_98,200,100,5,tanh,4,1,0.0204682,0.1963826,0.0205922,0.1992152,0.0258835,0.2436711,0.3715251594751479,-0.0156367553401593,-3.337172097652585,0.6280945667242898,-4.394394658994679
2026-08-04T14-20-33_tanh_4_99,200,100,5,tanh,4,1,0.0141212,0.1797681,0.0138825,0.1840963,0.0302857,0.2348706,0.2556280315005891,-0.0209490395322699,-7.415917951899298,0.8465406913900558,-0.4742434117526756
2026-08-04T14-20-33_tanh_4_100,200,100,5,tanh,4,1,0.0122733,0.1676759,0.0105598,0.1578434,0.0095898,0.1554313,-1.9787692362168836,-7.467281296874804,-29.269103803204708,0.757769065709925,-1.611843091117605
2026-08-04T20-28-08_tanh_8_1,200,100,5,tanh,8,1,5.01e-05,0.0104529,2.94e-05,0.0087651,3.45e-05,0.0095822,0.8986146265955179,-0.0103188305412036,-15.661481610661346,0.7811574387847076,-0.2776823442548121
2026-08-04T20-28-08_tanh_8_2,200,100,5,tanh,8,1,6.16e-05,0.011986,7.85e-05,0.0131661,0.0001042,0.014401,0.8952439738449604,-0.0129962230689293,-14.395143798754589,0.8067710097804346,-0.447045102069412
2026-08-04T20-28-08_tanh_8_3,200,100,5,tanh,8,1,0.0001225,0.0163036,6.27e-05,0.0127576,8.66e-05,0.014823,0.8069630837296037,-0.0114896697343574,-14.977435299368524,0.7194805372410625,-0.6505763834328702
2026-08-04T20-28-08_tanh_8_4,200,100,5,tanh,8,1,8.31e-05,0.0127454,0.0002382,0.0212814,5.92e-05,0.0115965,0.854242904767904,-0.0167960824564737,-14.513830618848235,0.7989928402167117,-0.3330109649716228
2026-08-04T20-28-08_tanh_8_5,200,100,5,tanh,8,1,0.0001053,0.0144287,0.0003062,0.0229365,0.0002749,0.0220954,0.8874049692366057,-0.0134113833927158,-15.26196488740575,0.8016443774394697,-0.2594305318113876
2026-08-04T20-28-08_tanh_8_6,200,100,5,tanh,8,1,0.0001589,0.0176286,0.0001967,0.0212851,0.0001584,0.0205584,0.4519623513210128,-0.0401029032713756,-12.67060975032035,0.8292128670213257,-0.4053008684227855
2026-08-04T20-28-08_tanh_8_7,200,100,5,tanh,8,1,5.89e-05,0.0114197,6.91e-05,0.0130565,6.61e-05,0.0129947,0.8312201570902727,-0.0053873813101809,-14.555715890669678,0.7998385513506472,-0.3915628510601582
2026-08-04T20-28-08_tanh_8_8,200,100,5,tanh,8,1,1.24e-05,0.0051131,8.76e-05,0.0103344,3.95e-05,0.0080862,0.9126820158517992,-0.0172421206883608,-14.403988953365529,0.7966197543829786,-0.3185475571989693
