MODEL_NAME,NUM_EPOCHS,N,F,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov,MINS_SV,MIN_GRADS_SV
2026-08-22T15-33-05_Tanh()_64_7,200,8,8,200,5,Tanh(),64,1,6e-06,0.0065977,3.81e-05,0.0160728,2.79e-05,0.0139322,"[ 1.52598339  0.39609949 -0.00576903 -0.51684604 -1.06630275 -1.65301424
 -2.55294142 -4.83010972]","[1.03478786 1.00491629 0.99239085 0.97920673 0.96750323 0.94395777
 0.92496538 0.88346992]","[-0.28916774 -0.3636222  -0.37450558 -0.36077321 -0.34939716 -0.32444553
 -0.29759446 -0.18216918]"
2026-08-22T15-33-05_Tanh()_64_8,200,8,8,200,5,Tanh(),64,1,6.1e-06,0.0066702,2.38e-05,0.012768,2.21e-05,0.0119188,"[ 1.53513343e+00  4.38216995e-01 -1.69332649e-04 -5.67528942e-01
 -1.08729878e+00 -1.61836569e+00 -2.52457875e+00 -4.76700784e+00]","[1.03519783 1.00484777 0.99253992 0.97887629 0.96753913 0.94473863
 0.92643742 0.88856923]","[-0.27478453 -0.3677482  -0.3712854  -0.34252612 -0.36724867 -0.32516885
 -0.31323572 -0.16317909]"
2026-08-22T15-33-05_Tanh()_64_9,200,8,8,200,5,Tanh(),64,1,6.2e-06,0.0067341,3.39e-05,0.0147036,2.66e-05,0.0136298,"[ 1.52417294e+00  4.35769741e-01 -3.33251839e-03 -5.59736520e-01
 -1.10516340e+00 -1.61056411e+00 -2.53366824e+00 -4.66420687e+00]","[1.03396268 1.0039102  0.99195715 0.97891621 0.96776699 0.9447376
 0.92630035 0.88940278]","[-0.2708798  -0.35113459 -0.36120812 -0.33851112 -0.32069962 -0.27303963
 -0.25969106 -0.17084893]"
2026-08-22T15-33-05_Tanh()_64_10,200,8,8,200,5,Tanh(),64,1,6.4e-06,0.0068249,2.87e-05,0.0139997,3.46e-05,0.0155909,"[ 1.54451908e+00  3.28632882e-01  1.09360276e-03 -5.33629351e-01
 -1.05074673e+00 -1.58947474e+00 -2.44122535e+00 -4.77914175e+00]","[1.03493054 1.00490116 0.99296429 0.97951963 0.96880353 0.94526624
 0.92613338 0.88790983]","[-0.29364592 -0.37873155 -0.38470648 -0.36099295 -0.33223109 -0.32087855
 -0.30556613 -0.15912613]"
2026-08-22T15-33-05_Tanh()_64_11,200,8,8,200,5,Tanh(),64,1,5.7e-06,0.0065226,2.95e-05,0.0135708,3.04e-05,0.014105,"[ 1.53275334e+00  3.63849437e-01  3.69788708e-03 -5.41533127e-01
 -1.07268705e+00 -1.63864371e+00 -2.49275787e+00 -4.74421243e+00]","[1.03538444 1.00342803 0.99247568 0.97905801 0.96806223 0.9452229
 0.9260585  0.8910991 ]","[-0.31004444 -0.36253928 -0.3493357  -0.34600319 -0.32112275 -0.31250336
 -0.24899205 -0.16521835]"
2026-08-22T15-33-05_Tanh()_64_12,200,8,8,200,5,Tanh(),64,1,7.1e-06,0.0072121,4.28e-05,0.0158205,2.85e-05,0.013546,"[ 1.49977026  0.39311409 -0.00953303 -0.57294989 -1.13124495 -1.65108943
 -2.5285936  -4.665245  ]","[1.03357863 1.00296612 0.99257191 0.97939131 0.96841485 0.94532801
 0.92637551 0.89005814]","[-0.30480426 -0.38076044 -0.41962189 -0.35953102 -0.35367288 -0.35688611
 -0.27494301 -0.16082446]"
2026-08-22T15-33-05_Tanh()_64_13,200,8,8,200,5,Tanh(),64,1,6.9e-06,0.0071825,4.14e-05,0.0149983,2.51e-05,0.0133249,"[ 1.54914452e+00  4.56476978e-01 -1.30466454e-03 -5.29454831e-01
 -1.13239378e+00 -1.62265387e+00 -2.52957418e+00 -4.72065333e+00]","[1.03499888 1.00222439 0.9920315  0.97938385 0.96808175 0.94545333
 0.92552629 0.88691882]","[-0.26130042 -0.37031606 -0.39195376 -0.35654916 -0.34598678 -0.35520925
 -0.29085136 -0.16229814]"
2026-08-22T15-33-05_Tanh()_64_14,200,8,8,200,5,Tanh(),64,1,6.4e-06,0.0068749,4.4e-05,0.0173013,1.93e-05,0.0117538,"[ 1.55357232  0.3551215  -0.01663414 -0.54861541 -1.13588406 -1.60745165
 -2.53054891 -4.82893099]","[1.03489158 1.00313326 0.99190969 0.97929813 0.96611951 0.94320632
 0.92439286 0.88607522]","[-0.33735048 -0.37656086 -0.3749582  -0.36224246 -0.34533721 -0.3118732
 -0.28759791 -0.15965686]"
2026-08-22T15-33-05_Tanh()_64_15,200,8,8,200,5,Tanh(),64,1,5.5e-06,0.0063709,5.84e-05,0.0185002,3.05e-05,0.0139178,"[ 1.54290014e+00  4.03457745e-01 -3.36605420e-03 -5.46361026e-01
 -1.11422519e+00 -1.63489321e+00 -2.49584651e+00 -4.82539316e+00]","[1.03400878 1.00451893 0.99195239 0.97879428 0.96856701 0.94502304
 0.92620025 0.88589001]","[-0.30062782 -0.36263104 -0.34708516 -0.34717826 -0.35604631 -0.30844502
 -0.27824004 -0.17706129]"
2026-08-22T15-33-05_Tanh()_64_16,200,8,8,200,5,Tanh(),64,1,6.9e-06,0.0071307,3.23e-05,0.0147471,3.01e-05,0.0135652,"[ 1.57670453  0.35893944 -0.00900477 -0.53946562 -1.12393253 -1.67059251
 -2.55817092 -4.80193061]","[1.03581718 1.00386576 0.99211744 0.97755671 0.96781293 0.94408644
 0.9251689  0.88793125]","[-0.2728345  -0.40637532 -0.41079298 -0.35788651 -0.33448447 -0.34005555
 -0.28092832 -0.17526289]"
2026-08-22T15-33-05_Tanh()_64_17,200,8,8,200,5,Tanh(),64,1,6.8e-06,0.0070717,5.58e-05,0.01807,2.25e-05,0.0125298,"[ 1.52912068e+00  3.84329190e-01 -3.22527213e-04 -5.55043979e-01
 -1.06021741e+00 -1.62815539e+00 -2.52634480e+00 -4.64624037e+00]","[1.03498166 1.00378679 0.99238138 0.97966081 0.9674048  0.94408927
 0.92547333 0.88605114]","[-0.31325419 -0.39035563 -0.40805898 -0.36298639 -0.36735827 -0.3115421
 -0.29706801 -0.18870268]"
2026-08-22T15-33-05_Tanh()_64_18,200,8,8,200,5,Tanh(),64,1,6.3e-06,0.006809,2.9e-05,0.0129746,2.41e-05,0.0127336,"[ 1.50706062  0.38678303 -0.01621623 -0.5412952  -1.08533798 -1.61823443
 -2.44192275 -4.79794229]","[1.03464097 1.005706   0.99268291 0.97969179 0.96704402 0.94349321
 0.92498999 0.88673638]","[-0.30374351 -0.36971911 -0.35995649 -0.34878634 -0.33199048 -0.32880479
 -0.28824904 -0.17249452]"
2026-08-22T15-33-05_Tanh()_64_19,200,8,8,200,5,Tanh(),64,1,8.4e-06,0.0078541,3.22e-05,0.0149596,2.63e-05,0.0133863,"[ 1.55877617e+00  3.95358925e-01 -1.94175985e-03 -5.62414294e-01
 -1.06752832e+00 -1.63719014e+00 -2.55101277e+00 -4.80470962e+00]","[1.0346499  1.00475607 0.99253549 0.97827712 0.96757627 0.94430548
 0.92531879 0.88593527]","[-0.28998447 -0.35653629 -0.38264925 -0.35602485 -0.33466246 -0.31544892
 -0.28393276 -0.17883374]"
2026-08-22T15-33-05_Tanh()_64_20,200,8,8,200,5,Tanh(),64,1,6.7e-06,0.0069811,5.55e-05,0.0168988,3.26e-05,0.0139215,"[ 1.55026492  0.35051549 -0.01143595 -0.53144474 -1.08486347 -1.61593235
 -2.46796636 -4.85515758]","[1.03493048 1.00433981 0.99216264 0.97859037 0.96876036 0.94571972
 0.92701966 0.88522696]","[-0.30603029 -0.38390661 -0.39419926 -0.33797096 -0.30876431 -0.31071855
 -0.28757443 -0.17570686]"
2026-08-22T15-33-05_Tanh()_64_21,200,8,8,200,5,Tanh(),64,1,8.9e-06,0.0080851,3.07e-05,0.0143395,2.8e-05,0.0141259,"[ 1.61152992e+00  4.11567371e-01  1.03332566e-03 -6.33963859e-01
 -1.10202208e+00 -1.61640507e+00 -2.62715212e+00 -4.77076754e+00]","[1.03482145 1.00421018 0.99226374 0.97894914 0.9679542  0.94417376
 0.92377198 0.88585444]","[-0.29126936 -0.37879964 -0.3706727  -0.37742081 -0.37284673 -0.33911127
 -0.30477094 -0.166815  ]"
2026-08-22T15-33-05_Tanh()_64_22,200,8,8,200,5,Tanh(),64,1,6.8e-06,0.0070927,2.95e-05,0.0138462,2.84e-05,0.0143471,"[ 1.52024993e+00  4.06412173e-01 -4.64478351e-03 -5.08502064e-01
 -1.07668327e+00 -1.66370630e+00 -2.56753107e+00 -4.77554037e+00]","[1.03402678 1.00366009 0.99257992 0.97823926 0.9687056  0.9454033
 0.92526064 0.88517046]","[-0.32672117 -0.37128283 -0.36217332 -0.32843771 -0.30450971 -0.30779102
 -0.27206365 -0.17356284]"
2026-08-22T15-33-05_Tanh()_64_23,200,8,8,200,5,Tanh(),64,1,5.9e-06,0.0065687,3.53e-05,0.0147973,3.21e-05,0.0148993,"[ 1.59792156e+00  3.87141697e-01  1.57192082e-04 -5.40345227e-01
 -1.12092541e+00 -1.62994473e+00 -2.49401960e+00 -4.83918703e+00]","[1.03392388 1.00184097 0.99255061 0.97872838 0.96544385 0.94381545
 0.92531289 0.88600714]","[-0.28534788 -0.37439227 -0.38453166 -0.36280009 -0.36210379 -0.3384116
 -0.26257147 -0.19021697]"
2026-08-22T15-33-05_Tanh()_64_24,200,8,8,200,5,Tanh(),64,1,6.7e-06,0.0070523,5.21e-05,0.017733,4.2e-05,0.0155376,"[ 1.54841794  0.32860933 -0.00737505 -0.55821657 -1.12161166 -1.62581983
 -2.43008402 -4.72664842]","[1.03509784 1.00483981 0.99244685 0.97798796 0.96806674 0.94452855
 0.92519943 0.88749435]","[-0.2967111  -0.39052916 -0.37888308 -0.35746262 -0.35092004 -0.32978912
 -0.31404943 -0.16497041]"
2026-08-22T15-33-05_Tanh()_64_25,200,8,8,200,5,Tanh(),64,1,6.3e-06,0.0067935,2.99e-05,0.0140923,3.37e-05,0.014714,"[ 1.50378695  0.34578036 -0.01116622 -0.506485   -1.05875802 -1.6134499
 -2.47969749 -4.75749722]","[1.03392221 1.00481062 0.99202164 0.97863861 0.96827521 0.94437825
 0.92468505 0.89170436]","[-0.26887417 -0.36017992 -0.36253568 -0.34166011 -0.34474372 -0.34209312
 -0.30642532 -0.15751388]"
2026-08-22T15-33-05_Tanh()_64_26,200,8,8,200,5,Tanh(),64,1,6.9e-06,0.0071208,3.04e-05,0.0140209,3.95e-05,0.0157555,"[ 1.58062462  0.38040607 -0.00560336 -0.56513452 -1.07891738 -1.60853292
 -2.58538107 -4.81185319]","[1.03528343 1.00324553 0.99205904 0.97920273 0.96759025 0.94375397
 0.92583122 0.88636204]","[-0.2943115  -0.42150213 -0.38653833 -0.3667686  -0.33214885 -0.29195913
 -0.28130115 -0.17823652]"
2026-08-22T15-33-05_Tanh()_64_27,200,8,8,200,5,Tanh(),64,1,6.8e-06,0.0071137,4.01e-05,0.0166208,2.81e-05,0.0141573,"[ 1.50436557e+00  4.08440082e-01  1.11667946e-03 -5.06246447e-01
 -1.15666501e+00 -1.67272342e+00 -2.47834731e+00 -4.92966700e+00]","[1.03415432 1.00321072 0.99190847 0.97873709 0.96737837 0.94411996
 0.92439185 0.88503512]","[-0.32327987 -0.39821843 -0.36071486 -0.34985623 -0.33353502 -0.30987731
 -0.27013352 -0.18272607]"
2026-08-22T15-33-05_Tanh()_64_28,200,8,8,200,5,Tanh(),64,1,6.6e-06,0.0069118,2.74e-05,0.0132208,2.83e-05,0.0143463,"[ 1.5631182   0.40938114 -0.01259049 -0.53074557 -1.10232008 -1.62957185
 -2.51934764 -4.77612481]","[1.03435046 1.00380606 0.99236613 0.97934631 0.96837268 0.94442182
 0.9233958  0.8824274 ]","[-0.29823085 -0.379764   -0.34859337 -0.3447044  -0.35560547 -0.33612903
 -0.31188973 -0.19098154]"
2026-08-22T15-33-05_Tanh()_64_29,200,8,8,200,5,Tanh(),64,1,6.8e-06,0.0070662,3.47e-05,0.0152739,2.85e-05,0.0138522,"[ 1.52298034  0.32503836 -0.00682207 -0.51217889 -1.11392177 -1.6324935
 -2.53788738 -4.76900394]","[1.03474067 1.00398369 0.99258091 0.97904946 0.96859318 0.94527605
 0.92519777 0.88875787]","[-0.27696378 -0.36665082 -0.33892854 -0.32218278 -0.30733322 -0.32576231
 -0.2883313  -0.17299623]"
2026-08-22T15-33-05_Tanh()_64_30,200,8,8,200,5,Tanh(),64,1,7.2e-06,0.0071952,3.02e-05,0.0140418,3.38e-05,0.0148241,"[ 1.58719849  0.38243723 -0.01128362 -0.57192792 -1.07323393 -1.62297836
 -2.47840813 -4.89001969]","[1.03527563 1.00387794 0.99169822 0.97808971 0.96787476 0.94411235
 0.92546544 0.88498538]","[-0.31726093 -0.39448834 -0.39760961 -0.36970281 -0.3515365  -0.32828064
 -0.32386277 -0.21935589]"
2026-08-22T15-33-05_Tanh()_64_31,200,8,8,200,5,Tanh(),64,1,6.4e-06,0.0068844,3.79e-05,0.0147698,4.61e-05,0.0167908,"[ 1.55221732  0.38049298 -0.00715339 -0.54596856 -1.08900023 -1.64435188
 -2.5319261  -4.78406823]","[1.03472217 1.00395618 0.99218192 0.97901528 0.9669606  0.94528143
 0.92576513 0.8858503 ]","[-0.28990706 -0.37089477 -0.38342387 -0.35477662 -0.3290977  -0.30089469
 -0.28228442 -0.18108811]"
2026-08-22T15-33-05_Tanh()_64_32,200,8,8,200,5,Tanh(),64,1,7.3e-06,0.007292,3.17e-05,0.0145995,3.25e-05,0.0147634,"[ 1.54877979e+00  4.23488009e-01  5.26527032e-04 -5.83103433e-01
 -1.06404164e+00 -1.63287774e+00 -2.50836201e+00 -4.74859687e+00]","[1.03595215 1.00315399 0.99192379 0.97887566 0.96765786 0.94469872
 0.92423266 0.88942699]","[-0.29488244 -0.36735926 -0.36236    -0.32739564 -0.34329021 -0.30938536
 -0.27947966 -0.17049165]"
2026-08-22T15-33-05_Tanh()_64_33,200,8,8,200,5,Tanh(),64,1,6.2e-06,0.0067167,2.7e-05,0.013377,3.47e-05,0.0150484,"[ 1.58185859e+00  4.23197163e-01 -3.08557128e-03 -5.81445050e-01
 -1.13965126e+00 -1.68642548e+00 -2.59299695e+00 -4.69268103e+00]","[1.03474295 1.00309117 0.9918577  0.97829985 0.96608085 0.94365273
 0.92517658 0.8884661 ]","[-0.29039396 -0.37041721 -0.36719417 -0.3514925  -0.32663619 -0.28720873
 -0.2705921  -0.17128159]"
2026-08-22T15-33-05_Tanh()_64_34,200,8,8,200,5,Tanh(),64,1,7e-06,0.0071625,2.54e-05,0.0133396,3.8e-05,0.0155715,"[ 1.48407922  0.38230234  0.01220678 -0.54946952 -1.14827667 -1.6364609
 -2.55926471 -4.75325422]","[1.03448761 1.00384971 0.99243853 0.97912742 0.96729965 0.94420535
 0.92408964 0.88929869]","[-0.31743936 -0.38099007 -0.37041734 -0.37088464 -0.33955136 -0.31728527
 -0.27850514 -0.17605284]"
2026-08-22T15-33-05_Tanh()_64_35,200,8,8,200,5,Tanh(),64,1,5.2e-06,0.0062201,2.81e-05,0.0136791,1.97e-05,0.0114858,"[ 1.50668792  0.42471277 -0.00982383 -0.4985413  -1.04673142 -1.5901127
 -2.47681645 -4.84342156]","[1.03470867 1.00387343 0.99226608 0.97972477 0.96909    0.94375921
 0.92430613 0.8875019 ]","[-0.26655119 -0.36163156 -0.38630747 -0.33988398 -0.33308432 -0.3431065
 -0.31760926 -0.14655659]"
2026-08-22T15-33-05_Tanh()_64_36,200,8,8,200,5,Tanh(),64,1,6.3e-06,0.0068057,3.03e-05,0.0142185,2.76e-05,0.0139407,"[ 1.52148653  0.38064993 -0.00584319 -0.5277677  -1.0990043  -1.6350512
 -2.44268503 -4.87550974]","[1.03506343 1.00423934 0.99150462 0.97856531 0.96472321 0.94582327
 0.92506042 0.88783038]","[-0.28606827 -0.37420741 -0.40254393 -0.39267447 -0.38582723 -0.29295745
 -0.28538335 -0.17973912]"
2026-08-22T15-33-05_Tanh()_64_37,200,8,8,200,5,Tanh(),64,1,6.6e-06,0.0069558,5.74e-05,0.0166404,3.08e-05,0.0143636,"[ 1.48007969  0.35524873 -0.00565602 -0.54052179 -1.14728841 -1.64592507
 -2.43619303 -4.74777143]","[1.0359546  1.00114742 0.99121585 0.97889587 0.96531619 0.94454638
 0.92587755 0.8891463 ]","[-0.30239636 -0.39882457 -0.39444961 -0.36566415 -0.35185044 -0.29774139
 -0.26320572 -0.15945349]"
2026-08-22T15-33-05_Tanh()_64_38,200,8,8,200,5,Tanh(),64,1,6e-06,0.0066645,2.38e-05,0.0125696,2.37e-05,0.0124669,"[ 1.56343472  0.34321322 -0.00672789 -0.53184936 -1.12666241 -1.5991951
 -2.59228225 -4.71442278]","[1.03422672 1.0049529  0.99216873 0.9783621  0.96830255 0.94433553
 0.92540512 0.88759561]","[-0.26798881 -0.38878607 -0.39058007 -0.36691733 -0.32176082 -0.29969037
 -0.27540704 -0.15299552]"
2026-08-22T15-33-05_Tanh()_64_39,200,8,8,200,5,Tanh(),64,1,6.9e-06,0.0071655,3.81e-05,0.0157275,4.9e-05,0.0161055,"[ 1.54512876  0.36769183 -0.0140664  -0.51302116 -1.03676877 -1.61481634
 -2.4372295  -4.82647976]","[1.03216406 1.00393958 0.99250066 0.97999751 0.96870925 0.9441634
 0.92438365 0.88903962]","[-0.3168921  -0.38963421 -0.35339627 -0.34279024 -0.31610346 -0.33908606
 -0.32597831 -0.16002143]"
2026-08-22T15-33-05_Tanh()_64_40,200,8,8,200,5,Tanh(),64,1,6.4e-06,0.0068107,3.53e-05,0.015297,5.5e-05,0.016905,"[ 1.54072627e+00  4.45505260e-01 -1.29984920e-03 -5.31135817e-01
 -1.10133203e+00 -1.58455952e+00 -2.48055563e+00 -4.80643521e+00]","[1.03467767 1.00088618 0.99232654 0.97832191 0.96651497 0.94537018
 0.92470663 0.88472444]","[-0.31809081 -0.35998959 -0.36915237 -0.3485294  -0.32632563 -0.35218935
 -0.29401056 -0.16606079]"
2026-08-22T15-33-05_Tanh()_64_41,200,8,8,200,5,Tanh(),64,1,7.2e-06,0.007282,3.42e-05,0.0153245,3.2e-05,0.0145206,"[ 1.54993929e+00  4.01051677e-01 -1.46360986e-04 -5.15041291e-01
 -1.09331313e+00 -1.63396133e+00 -2.52016938e+00 -4.69675061e+00]","[1.03642787 1.00263015 0.99271111 0.9794675  0.96742551 0.94371454
 0.92503999 0.88894972]","[-0.27559389 -0.37638671 -0.36338434 -0.33444839 -0.34155983 -0.3219942
 -0.27833588 -0.17366533]"
2026-08-22T15-33-05_Tanh()_64_42,200,8,8,200,5,Tanh(),64,1,5.7e-06,0.0064631,3.65e-05,0.0154454,3.26e-05,0.0142385,"[ 1.58203967e+00  4.08759849e-01  2.72923116e-03 -6.08588899e-01
 -1.12315450e+00 -1.66090712e+00 -2.58754788e+00 -4.66529049e+00]","[1.03623935 1.00318954 0.99184081 0.97903664 0.96723645 0.94387002
 0.92679411 0.88813544]","[-0.26505783 -0.35174497 -0.35045845 -0.32831578 -0.32171994 -0.30652442
 -0.29003518 -0.16879541]"
2026-08-22T15-33-05_Tanh()_64_43,200,8,8,200,5,Tanh(),64,1,7.3e-06,0.0072721,3.7e-05,0.0152147,5.31e-05,0.0175039,"[ 1.57761746  0.34909277 -0.01485494 -0.50845809 -1.10167569 -1.62893628
 -2.51426031 -4.68106568]","[1.03326114 1.00507975 0.99268878 0.97944936 0.9675452  0.94563339
 0.92458717 0.88878028]","[-0.29153314 -0.37962483 -0.36663873 -0.33034036 -0.32358905 -0.30703468
 -0.29460357 -0.17597635]"
2026-08-22T15-33-05_Tanh()_64_44,200,8,8,200,5,Tanh(),64,1,6.8e-06,0.0070737,2.6e-05,0.0132207,5.6e-05,0.0171881,"[ 1.5172151   0.39134841 -0.01166853 -0.53957014 -1.0977982  -1.61945849
 -2.52523102 -4.75973867]","[1.03535447 1.00245082 0.99236511 0.97872482 0.96732572 0.94500312
 0.92433692 0.88869551]","[-0.27598176 -0.36326299 -0.40876126 -0.36727848 -0.32496091 -0.31972278
 -0.27463174 -0.16488577]"
2026-08-22T15-33-05_Tanh()_64_45,200,8,8,200,5,Tanh(),64,1,7e-06,0.0071175,3.3e-05,0.0139661,2.93e-05,0.0140183,"[ 1.53038558  0.39841893 -0.00704231 -0.56583206 -1.08572024 -1.62161514
 -2.55819147 -4.67408275]","[1.03617904 1.00335143 0.9911142  0.97958207 0.96702073 0.94518744
 0.92576277 0.8864891 ]","[-0.29221285 -0.36782551 -0.38218265 -0.3587605  -0.35247897 -0.31556595
 -0.28503438 -0.1770247 ]"
2026-08-22T15-33-05_Tanh()_64_46,200,8,8,200,5,Tanh(),64,1,6.5e-06,0.0069232,2.51e-05,0.0127401,2.64e-05,0.0127303,"[ 1.50937382e+00  3.88567165e-01  2.20736374e-03 -5.24296635e-01
 -1.08210760e+00 -1.60275472e+00 -2.51878904e+00 -4.82680946e+00]","[1.0332642  1.00432214 0.99290885 0.97886685 0.96728284 0.94442589
 0.92539171 0.8878309 ]","[-0.28796639 -0.40694503 -0.37989629 -0.35815145 -0.33782986 -0.30740765
 -0.27385722 -0.17059944]"
2026-08-22T15-33-05_Tanh()_64_47,200,8,8,200,5,Tanh(),64,1,5.8e-06,0.0065756,3.17e-05,0.0141309,3.4e-05,0.014572,"[ 1.57490577e+00  3.62792213e-01  6.96224539e-04 -5.28821433e-01
 -1.16340610e+00 -1.67587980e+00 -2.51653742e+00 -4.78645626e+00]","[1.03389858 1.0050006  0.9926682  0.97934792 0.96731321 0.94336217
 0.92446433 0.88425455]","[-0.29344878 -0.39554633 -0.36972676 -0.35290882 -0.33136543 -0.30054775
 -0.29041628 -0.17643834]"
2026-08-22T15-33-05_Tanh()_64_48,200,8,8,200,5,Tanh(),64,1,6.6e-06,0.0069864,4.31e-05,0.0171563,5.7e-05,0.018459,"[ 1.47803095  0.41439804 -0.00636868 -0.57670111 -1.14810161 -1.60038474
 -2.47619453 -4.77617253]","[1.03342729 1.00391899 0.99230462 0.97839664 0.96617823 0.94470673
 0.92460126 0.88645537]","[-0.30070304 -0.37292377 -0.38616045 -0.36033205 -0.36252446 -0.3049761
 -0.2762922  -0.19495109]"
2026-08-22T15-33-05_Tanh()_64_49,200,8,8,200,5,Tanh(),64,1,6.6e-06,0.0069349,3.15e-05,0.0137717,2.58e-05,0.0132242,"[ 1.55757462  0.39897237 -0.01555402 -0.58597022 -1.02847403 -1.62194278
 -2.61606175 -4.71470618]","[1.03496876 1.00442372 0.99286331 0.97874591 0.96777261 0.94431496
 0.92484253 0.88763636]","[-0.28214894 -0.36036081 -0.37786206 -0.34376186 -0.32716715 -0.32318368
 -0.26957656 -0.16806727]"
2026-08-22T15-33-05_Tanh()_64_50,200,8,8,200,5,Tanh(),64,1,6.5e-06,0.0069091,3.2e-05,0.0148063,2.13e-05,0.0122941,"[ 1.51496864  0.39440436 -0.00940775 -0.54749522 -1.102487   -1.67952758
 -2.45664667 -4.76141232]","[1.03499959 1.00338362 0.99195432 0.97908618 0.96659211 0.94489006
 0.92383081 0.8867787 ]","[-0.31418895 -0.39703072 -0.34495351 -0.32099177 -0.30249158 -0.29728868
 -0.26838341 -0.18060751]"
