MODEL_NAME,NUM_EPOCHS,N,F,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov,MINS_SV,MIN_GRADS_SV
2026-08-22T05-43-37_Tanh()_24_29,200,8,8,200,5,Tanh(),24,1,0.0003893,0.0518814,0.000581,0.0639817,0.0008649,0.0769174,"[  1.03385176   0.30220333  -1.83315786  -3.40910391  -4.38925892
  -6.41750084  -9.29176128 -10.86935424]","[1.0636203  1.00382193 0.93342294 0.8921881  0.83403542 0.78034971
 0.72060178 0.63682607]","[-1.55513768 -2.00084417 -2.00410469 -2.60089494 -2.32630683 -1.84385373
 -2.18921031 -2.55857216]"
2026-08-22T05-43-37_Tanh()_24_30,200,8,8,200,5,Tanh(),24,1,0.0006887,0.0688961,0.001361,0.0921816,0.0017058,0.1065429,"[ 1.37504432  0.51540677  0.01280311 -0.29224549 -1.01354064 -1.73674501
 -2.60252363 -4.67603649]","[1.02504178 1.00631754 0.99004895 0.96762321 0.94944389 0.91937098
 0.88157088 0.83254398]","[-0.75957569 -0.80127511 -0.89940769 -0.63189388 -0.81130331 -0.75527717
 -0.95104508 -0.83586971]"
2026-08-22T05-43-37_Tanh()_24_31,200,8,8,200,5,Tanh(),24,1,0.0015641,0.1056066,0.0020193,0.1165199,0.0022401,0.1269612,"[  3.06915469   0.93322051  -1.25589858  -4.02875642  -7.5492887
 -12.5989054  -19.91675512 -36.81444991]","[0.99387604 0.84794635 0.73800313 0.66757144 0.63075606 0.59239185
 0.52010211 0.47444484]","[-70.10552014 -49.303166   -45.39530337 -32.43907795 -28.86975292
 -33.01008193 -30.37985227 -22.79193889]"
2026-08-22T05-43-37_Tanh()_24_32,200,8,8,200,5,Tanh(),24,1,0.0018483,0.1115704,0.0024288,0.1305216,0.0023612,0.1337064,"[  1.11962029   0.12217717  -0.21301305  -1.95856954  -3.27626989
  -4.61647634  -6.73116063 -13.17194063]","[1.02644835 1.00679937 0.93057768 0.86432128 0.76228817 0.67512099
 0.49846504 0.28658936]","[-29.99710479 -24.04768967 -19.06685906 -14.10589367 -10.29117809
  -9.31262991 -12.64994031 -13.97402338]"
2026-08-22T05-43-37_Tanh()_24_33,200,8,8,200,5,Tanh(),24,1,0.0006922,0.0694332,0.001213,0.0908399,0.0015224,0.102651,"[ 2.47676906e-01 -7.32737746e-03 -6.31283546e+00 -6.45001628e+00
 -8.01030247e+00 -8.29293433e+00 -2.12791056e+01 -5.07102197e+01]","[1.17774809 1.0110786  0.8937758  0.80900235 0.68569793 0.57343155
 0.47887722 0.27582579]","[-36.01673196 -16.48628922 -15.48080625 -13.24417127 -14.66890623
 -12.27838975 -19.94695628 -21.99663508]"
2026-08-22T05-43-37_Tanh()_24_34,200,8,8,200,5,Tanh(),24,1,0.0004051,0.0537189,0.0008284,0.0730399,0.0009023,0.0772605,"[ 1.42912009e+00  4.54752859e-01 -2.33682005e-03 -3.68756416e-01
 -9.88894665e-01 -1.77742390e+00 -2.61979371e+00 -4.62342194e+00]","[1.03010716 1.00585923 0.98991653 0.97398623 0.95846406 0.93726128
 0.91059564 0.87939581]","[-0.38496677 -0.53864361 -0.76016527 -0.51487539 -0.68046371 -0.55763035
 -0.47594    -0.38608687]"
2026-08-22T05-43-37_Tanh()_24_35,200,8,8,200,5,Tanh(),24,1,0.0011715,0.090626,0.0017934,0.1127972,0.0020562,0.1169775,"[ -28.28609054  -28.26768265  -48.4159113   -87.00918555  -87.02535992
 -169.40358503 -169.40970892 -216.91770219]","[1.30785044 0.84843944 0.77203656 0.49726323 0.37765911 0.22369593
 0.13875194 0.04601374]","[-1.86248352e-05 -2.58833790e-05 -1.46394471e-05 -1.04055012e-05
 -9.98124785e-06 -1.41755880e-05 -1.15260834e-05 -1.15895467e-05]"
2026-08-22T05-43-37_Tanh()_24_36,200,8,8,200,5,Tanh(),24,1,0.0006954,0.0696933,0.0010116,0.0842304,0.0010327,0.0827991,"[ 1.48451696  0.49039862  0.01115947 -0.28293601 -1.0042288  -1.76630334
 -2.63850317 -4.13719412]","[1.0310169  1.0072857  0.98636892 0.96062549 0.91617848 0.89247508
 0.87068337 0.84886498]","[-0.62964262 -0.59055066 -0.74635552 -0.74283113 -0.68587089 -0.92699152
 -0.67360476 -0.45866964]"
2026-08-22T05-43-37_Tanh()_24_37,200,8,8,200,5,Tanh(),24,1,0.0004273,0.0552392,0.0010382,0.0818916,0.000775,0.0754041,"[ 1.44374724  0.46221385 -0.00604924 -0.40022675 -1.05112442 -1.71467788
 -2.5207445  -4.45197492]","[1.03368214 1.00640165 0.98985093 0.97193153 0.95571892 0.92680592
 0.90525589 0.85817782]","[-0.45782329 -0.49441559 -0.57928362 -0.65627005 -0.662964   -0.49177829
 -0.5379045  -0.41325538]"
2026-08-22T05-43-37_Tanh()_24_38,200,8,8,200,5,Tanh(),24,1,0.0005307,0.0606949,0.0008033,0.0760961,0.0007845,0.0725597,"[ 1.57109951  0.58112572  0.00747654 -0.24660312 -1.00973581 -1.82027107
 -2.75421834 -4.8454051 ]","[1.03444197 1.00719669 0.99239736 0.9708593  0.94811    0.91907098
 0.87789327 0.82273812]","[-0.73958264 -0.86145721 -0.83826602 -0.9166696  -0.74471682 -0.79658066
 -0.68809583 -0.8205226 ]"
